Date,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily,cases-cured-daily,deaths-cured-outcome
Feb 15,100,53,53,,42,1,1,0,0,100
Feb 16,100,59,59,6,50,1,1,0,0,100
Feb 17,5.26,66,66,7,52,1,1,0,18,5.26
Feb 18,4.76,74,74,8,52,1,1,0,2,4.76
Feb 19,4.76,84,84,10,55,1,1,0,0,4.76
Feb 20,4.76,94,94,10,63,1,1,0,0,4.76
Feb 21,4.35,109,109,15,74,1,1,0,2,4.35
Feb 22,4.35,134,134,25,90,1,1,0,0,4.35
Feb 23,4.17,146,146,12,107,1,1,0,1,4.17
Feb 24,4.17,159,159,13,122,1,1,0,0,4.17
Feb 25,4.17,161,161,2,131,1,1,0,0,4.17
Feb 26,11.54,172,172,11,139,3,3,2,0,11.54
Feb 27,11.11,214,214,42,153,4,4,1,9,11.11
Feb 28,13.51,233,233,19,173,5,5,1,0,13.51
Feb 29,13.51,241,241,8,192,5,5,0,0,13.51
Mar 01,12.5,256,256,15,203,6,6,1,10,12.5
Mar 02,12.5,274,274,18,212,6,6,0,0,12.5
Mar 03,12.24,293,293,19,226,6,6,0,1,12.24
Mar 04,12.24,331,331,38,250,6,6,0,0,12.24
Mar 05,12.24,364,364,33,280,6,6,0,0,12.24
Mar 06,10.91,420,420,56,321,6,6,0,6,10.91
Mar 07,7.32,461,461,41,353,6,6,0,27,7.32
Mar 08,8.43,502,502,41,388,7,7,1,0,8.43
Mar 09,9.68,530,530,28,412,9,9,2,8,9.68
Mar 10,10.53,587,587,57,444,12,12,3,18,10.53
Mar 11,11.28,639,639,52,472,15,15,3,16,11.28
Mar 12,13.87,691,691,52,511,19,19,4,0,13.87
Mar 13,15.11,734,734,43,552,21,21,2,0,15.11
Mar 14,13.25,804,804,70,595,22,22,1,26,13.25
Mar 15,14.29,833,833,29,633,24,24,2,0,14.29
Mar 16,16.28,850,850,17,660,28,28,4,0,16.28
Mar 17,16.76,878,878,28,683,29,29,1,0,16.76
Mar 18,13.18,914,914,36,692,29,29,0,47,13.18
Mar 19,14.73,943,943,29,707,33,33,4,0,14.73
Mar 20,14,1007,1007,64,724,35,35,2,24,14
Mar 21,14.34,1054,1054,47,759,36,36,1,0,14.34
Mar 22,14.86,1101,1101,47,795,41,41,5,20,14.86
Mar 23,15.16,1128,1128,27,826,42,42,1,0,15.16
Mar 24,13.11,1193,1193,65,847,43,43,1,50,13.11
Mar 25,12.68,1307,1307,114,889,45,45,2,25,12.68
Mar 26,11.58,1387,1387,80,933,47,47,2,49,11.58
Mar 27,11.64,1499,1499,112,1004,49,49,2,13,11.64
Mar 28,11.4,1693,1693,194,1099,52,52,3,32,11.4
Mar 29,11.3,1866,1866,173,1234,54,54,2,20,11.3
Mar 30,11.67,1953,1953,87,1366,56,56,2,0,11.67
Mar 31,11.85,2178,2178,225,1519,57,57,1,0,11.85
Apr 01,10.78,2384,2384,206,1675,57,57,0,48,10.78
Apr 02,11.78,2617,2617,233,1878,63,63,6,0,11.78
Apr 03,11.84,2935,2935,318,2096,69,69,6,42,11.84
Apr 04,13.03,3139,3139,204,2327,77,77,8,0,13.03
Apr 05,12.88,3654,3654,515,2632,85,85,8,61,12.88
Apr 06,13.45,3906,3906,252,2921,92,92,7,17,13.45
Apr 07,13.01,4257,4257,351,3253,93,93,1,30,13.01
Apr 08,12.95,4667,4667,410,3569,94,94,1,10,12.95
Apr 09,12.63,5347,5347,680,4016,99,99,5,53,12.63
Apr 10,12.63,6005,6005,658,4576,99,99,0,0,12.63
Apr 11,12.41,6748,6748,743,5220,108,108,9,77,12.41
Apr 12,13.56,7370,7370,622,5854,123,123,15,22,13.56
Apr 13,15.18,7618,7618,248,6338,143,143,20,15,15.18
Apr 14,14.61,7885,7885,267,6675,146,146,3,54,14.61
Apr 15,16.5,8626,8626,741,7036,178,178,32,48,16.5
Apr 16,16.89,9231,9231,605,7514,190,190,12,34,16.89
Apr 17,16.89,9787,9787,556,8105,190,190,0,0,16.89
Apr 18,17.2,10296,10296,509,8590,222,222,32,134,17.2
Apr 19,16.92,10797,10797,501,9023,236,236,14,90,16.92
Apr 20,17.51,11135,11135,338,9347,263,263,27,80,17.51
Apr 21,17.17,11512,11512,377,9637,281,281,18,117,17.17
Apr 22,17.35,11950,11950,438,9911,299,299,18,68,17.35
Apr 23,18,12368,12368,418,10215,328,328,29,70,18
Apr 24,18.4,12712,12712,344,10536,345,345,17,36,18.4
Apr 25,17.86,13231,13231,519,10866,360,360,15,126,17.86
Apr 26,17.06,13449,13449,218,11107,372,372,12,153,17.06
Apr 27,16.86,13614,13614,165,11271,385,385,13,90,16.86
Apr 28,17.18,13736,13736,122,11347,394,394,9,0,17.18
Apr 29,14.85,13895,13895,159,11296,413,413,19,469,14.85
Apr 30,14.88,14088,14088,193,11252,430,430,17,92,14.88
May 01,13.27,14305,14305,217,11062,455,455,25,515,13.27
May 02,12.88,14571,14571,266,10988,474,474,19,230,12.88
May 03,10.9,14877,14877,306,10725,487,487,13,776,10.9
